status,volume_m3,feed_temp_k,conversion_pct,n_pentane_flow_mols,isopentane_flow_mols,heat_duty_w,outlet_temp_k,unit_operation,stages,feed_stage,reflux_ratio,distillate_rate,distillate_isopentane_purity,bottoms_npentane_purity,condenser_duty_kw,reboiler_duty_kw
Success,0.5,450.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,0.5,480.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,0.5,500.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,0.5,520.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,1.0,450.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,1.0,480.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,1.0,500.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,1.0,520.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,1.5,450.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,1.5,480.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,1.5,500.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,1.5,520.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,2.0,450.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,2.0,480.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,2.0,500.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,2.0,520.0,100.0,0.0,0.0,0.0,298.15,PFR,,,,,,,,
Success,,,,,,,,DistillationColumn,10.0,5.0,1.5,0.5,0.5,0.5,0.0,0.0
Success,,,,,,,,DistillationColumn,10.0,5.0,2.5,0.5,0.5,0.5,0.0,0.0
Success,,,,,,,,DistillationColumn,10.0,5.0,3.5,0.5,0.5,0.5,0.0,0.0
Success,,,,,,,,DistillationColumn,15.0,7.0,1.5,0.5,0.5,0.5,0.0,0.0
Success,,,,,,,,DistillationColumn,15.0,7.0,2.5,0.5,0.5,0.5,0.0,0.0
Success,,,,,,,,DistillationColumn,15.0,7.0,3.5,0.5,0.5,0.5,0.0,0.0
Success,,,,,,,,DistillationColumn,20.0,10.0,1.5,0.5,0.5,0.5,0.0,0.0
Success,,,,,,,,DistillationColumn,20.0,10.0,2.5,0.5,0.5,0.5,0.0,0.0
Success,,,,,,,,DistillationColumn,20.0,10.0,3.5,0.5,0.5,0.5,0.0,0.0
